id,title,description,source_customers,source_files,source_section,capability_tier,memory_tier,interface,operation_type,mvp,priority,status,implementation_area,acceptance_evidence,notes
YAAM-REQ-0011,"Keep default MCP resources read-only","MCP resources are inspection surfaces and must not mutate state.","iAIMS; Skill Factory; SCM Cognitive Sandwich; Maritime Port Sandbox; SCM-Cert-Bench","IAMS; Skill-Factory; scm-cognitive-sandwich; maritime-port-sandbox; 2026-05-24-scm-cert-bench","Security And Permission Requirements","Service","N/A","MCP","Resource/security","Yes","P0","Accepted","MCP authorization policy","MCP resources cannot mutate memory state.","Mutations are tools."
YAAM-REQ-0012,"Allowlist mutating and lifecycle MCP tools","Require explicit permission for write and lifecycle tools.","TRA; iAIMS; Skill Factory; SCM Cognitive Sandwich; Maritime Port Sandbox; SCM-Cert-Bench","external_requirements/*.md","Security And Permission Requirements","Service","Cross-tier","MCP","Security","Yes","P0","Accepted","MCP authorization policy","Write/lifecycle tool availability is controlled server-side.","Shared safety constraint."
YAAM-REQ-0013,"Never expose secrets, raw env, or sensitive traces through resources","Redact secrets, database URLs, raw env values, raw reasoning traces, and unredacted logs.","iAIMS; Skill Factory; SCM Cognitive Sandwich; Maritime Port Sandbox; SCM-Cert-Bench","IAMS; Skill-Factory; scm-cognitive-sandwich; maritime-port-sandbox; 2026-05-24-scm-cert-bench","Security And Permission Requirements","Service","N/A","MCP","Security","Yes","P0","Accepted","Redaction policy","Permission tests verify restricted data is denied or redacted.","Also aligned with repo secret boundary."
YAAM-REQ-0014,"Propagate trace context and expose Phoenix-auditable operations","Trace memory reads, writes, evidence aggregation, and agentic reviews.","TRA; iAIMS; Skill Factory; SCM Cognitive Sandwich; Maritime Port Sandbox; SCM-Cert-Bench","external_requirements/*.md","Observability Requirements","Service","Cross-tier","Multiple","Observability","Yes","P0","Accepted","Observability/tracing","Calls propagate trace context and emit auditable spans.","Use W3C trace context where applicable."
YAAM-REQ-0015,"Provide health and configuration inspection","Expose health and configured/degraded/unavailable tier status without secrets.","iAIMS; Skill Factory; SCM Cognitive Sandwich; Maritime Port Sandbox; SCM-Cert-Bench","IAMS; Skill-Factory; scm-cognitive-sandwich; maritime-port-sandbox; 2026-05-24-scm-cert-bench","MCP Expectations; Reliability","Service","N/A","REST v2; MCP","Read/resource","Yes","P0","Accepted","Health/config service","Health/config resource reports tier status without secret exposure.","Needed for graceful degradation."
YAAM-REQ-0016,"Provide Evidence Table generation","Generate structured evidence rows for audits, repairs, skills, and disputed runs.","iAIMS; Skill Factory; SCM Cognitive Sandwich; Maritime Port Sandbox; SCM-Cert-Bench","IAMS; Skill-Factory; scm-cognitive-sandwich; maritime-port-sandbox; 2026-05-24-scm-cert-bench","Required Capabilities; MCP Expectations","Agentic","Cross-tier","MCP; REST v2","Read/agentic","Mixed","P1","Accepted","Evidence service","Evidence Table includes claim, source, provenance, policy metadata, visibility, and warnings.","Runtime-critical for some customers, audit-only for others."
YAAM-REQ-0017,"Provide CIAR explanation with components and policy metadata","Explain CIAR scores, policy status, review-only state, and suppression metadata.","TRA; iAIMS; Skill Factory; Maritime Port Sandbox; SCM-Cert-Bench","TRA; IAMS; Skill-Factory; maritime-port-sandbox; 2026-05-24-scm-cert-bench","Provenance, Evidence, and CIAR Requirements","Agentic","Cross-tier","MCP","Read","Mixed","P1","Accepted","CIAR policy service","Explanation includes certainty, impact, age decay, recency boost, final score, and policy version.","Mostly audit/debug."
YAAM-REQ-0018,"Return partial results with warnings for degraded agentic services","Return raw/unified evidence when agentic evidence or CIAR services degrade.","iAIMS; Skill Factory; Maritime Port Sandbox; SCM-Cert-Bench","IAMS; Skill-Factory; maritime-port-sandbox; 2026-05-24-scm-cert-bench","Reliability And Error Handling","Unified","Cross-tier","MCP; REST v2","Reliability","Yes","P1","Accepted","Error handling","Read responses can report partial results and warnings without mutation.","Do not hide degradation."
YAAM-REQ-0019,"Support artifact draft/revision/feedback/commit lineage","Represent iterative artifact repair lineage with feedback and commit nodes.","SCM Cognitive Sandwich","scm-cognitive-sandwich","Required Capabilities; MCP Expectations","Artifact","Cross-tier","MCP","Write/lifecycle/read","Yes","P1","Needs discussion","Artifact service","Lineage captures artifact, revisions, feedback, commits, hashes, and verification states.","Large product extension."
YAAM-REQ-0020,"Provide artifact lineage resources","Expose read-only artifact lineage resources for inspection and repair context.","SCM Cognitive Sandwich","scm-cognitive-sandwich","MCP Expectations","Artifact","Cross-tier","MCP","Resource/read","Yes","P1","Needs discussion","MCP resources/artifact service","Resource returns ordered lineage nodes with provenance and redacted payload behavior.","Depends on artifact model."
YAAM-REQ-0021,"Store deterministic feedback and solver/sandbox evidence","Persist external deterministic feedback and benchmark judge evidence as linked evidence.","SCM Cognitive Sandwich; Maritime Port Sandbox; Skill Factory; SCM-Cert-Bench","scm-cognitive-sandwich; maritime-port-sandbox; Skill-Factory; 2026-05-24-scm-cert-bench","Required Capabilities","Artifact/Raw","L2; L3; L4","MCP; REST v2","Write","Yes","P1","Accepted","Evidence/artifact ingestion","Stored feedback links to episode, artifact, run, or skill scope and is queryable.","Common across deterministic and benchmark systems."
YAAM-REQ-0022,"Store and query Skill Factory generation, QA, and curation memory","Support Skill Factory views keyed by CTT, skill, run, QA, and active-tool status.","Skill Factory","Skill-Factory","Required Capabilities","Raw/Unified","Cross-tier","REST v2; MCP","Read/write","Yes","P2","Accepted","Skill Factory MCP domain pack","Skill Factory tests retrieve generation history, validated facts, and QA decisions through the optional domain pack.","Customer-specific view exposed as an additive MCP domain pack."
YAAM-REQ-0023,"Provide Skill Factory resources for skills, CTTs, and runs","Expose skill, CTT, and run resources for MCP clients.","Skill Factory","Skill-Factory","MCP Expectations","Raw/Unified","Cross-tier","MCP","Resource/read","Yes","P2","Accepted","Skill Factory MCP domain pack","Resources expose non-sensitive metadata and enforce scope when the domain pack is enabled.","Customer-specific resource templates; disabled outside the pack."
YAAM-REQ-0024,"Store and query maritime port/run/scenario evidence","Persist port facts, admin mutations, and simulation runs with hashes and audit metadata.","Maritime Port Sandbox","maritime-port-sandbox","Required Capabilities","Raw/Unified","Cross-tier","REST v2; MCP","Read/write","Yes","P2","Needs discussion","Domain-specific memory views","Queries by run, scenario, port, disruption type, and scope return evidence.","Customer-specific domain model."
YAAM-REQ-0025,"Provide maritime resources for runs, scenarios, ports, and facts","Expose maritime run, scenario, port, and fact resources.","Maritime Port Sandbox","maritime-port-sandbox","MCP Expectations","Raw/Unified","Cross-tier","MCP","Resource/read","Yes","P2","Needs discussion","MCP resources/customer views","Resources enforce scope and do not expose hidden admin routes.","Customer-specific resource templates."
YAAM-REQ-0026,"Keep LangChain tools out of customer-facing YAAM contracts","Do not require customer systems to integrate through LangChain tools.","TRA; iAIMS; Skill Factory; SCM Cognitive Sandwich; Maritime Port Sandbox; SCM-Cert-Bench","external_requirements/*.md","Expected Interface","Service","N/A","LangChain","Interface constraint","Yes","P1","Accepted","Tool/service boundary","Customer-facing docs do not require LangChain tool usage.","Adapters should call shared services."
YAAM-REQ-0027,"Avoid direct customer library calls into YAAM internals","Avoid direct storage adapters or private YAAM library coupling for customers.","TRA; iAIMS; Skill Factory; Maritime Port Sandbox; SCM-Cert-Bench","TRA; IAMS; Skill-Factory; maritime-port-sandbox; 2026-05-24-scm-cert-bench","Expected Interface","Service","N/A","Direct library","Interface constraint","Yes","P1","Accepted","Public interface boundary","Integrations use REST v2, MCP, or documented facade transition points.","SCM Cognitive Sandwich has a temporary exception."
YAAM-REQ-0028,"Preserve transitional facade only until MCP parity for SCM Cognitive Sandwich","Allow temporary facade integration for SCM Cognitive Sandwich while MCP matures.","SCM Cognitive Sandwich","scm-cognitive-sandwich","Expected Interface","Service","N/A","Direct library; MCP","Compatibility","Yes","P2","Needs discussion","Migration planning","Migration plan defines facade deprecation or coexistence.","Customer-specific transition."
YAAM-REQ-0029,"Provide contradiction/supersession and safe-refusal review as opt-in","Expose contradiction and safe-refusal review explicitly without default autonomous mutation.","Skill Factory; iAIMS; TRA; SCM-Cert-Bench","Skill-Factory; IAMS; TRA; 2026-05-24-scm-cert-bench","MCP Expectations","Agentic","Cross-tier","MCP","Lifecycle/read","Mixed","P1","Accepted","Contradiction policy service","Contradiction review returns supporting and conflicting evidence plus infeasibility or safe-refusal rationale when applicable.","Promoted by SCM-Cert-Bench adversarial benchmark MVP need."
YAAM-REQ-0030,"Provide autonomous consolidation/distillation as opt-in only","Keep autonomous lifecycle actions privileged and non-default.","Skill Factory; SCM Cognitive Sandwich","Skill-Factory; scm-cognitive-sandwich","Required Capabilities; MCP Expectations","Agentic","Cross-tier","MCP","Lifecycle","No","P3","Deferred","Lifecycle service","Lifecycle tools are not enabled by default for customers.","Future automation."
YAAM-REQ-0031,"Provide MCP prompt templates for evidence, memory inspection, and CIAR explanation","Expose common prompt templates for inspection and audit workflows.","iAIMS; Skill Factory; SCM Cognitive Sandwich; Maritime Port Sandbox; SCM-Cert-Bench","IAMS; Skill-Factory; scm-cognitive-sandwich; maritime-port-sandbox; 2026-05-24-scm-cert-bench","MCP Expectations","Agentic","Cross-tier","MCP","Prompt","Mixed","P1","Accepted","MCP prompts","Prompt discovery returns documented templates and variables.","Common prompts across customers."
YAAM-REQ-0032,"Support domain-specific prompt templates","Provide optional customer/domain prompts such as repair context, repair-pattern summaries, contradiction review, and curation summaries.","Skill Factory; SCM Cognitive Sandwich; SCM-Cert-Bench","Skill-Factory; scm-cognitive-sandwich; 2026-05-24-scm-cert-bench","MCP Expectations","Agentic","Cross-tier","MCP","Prompt","Mixed","P2","Accepted","MCP domain packs","Domain prompts are optional, scoped to relevant callers, and exposed through MCP domain packs.","Avoid bloating core MCP surface."
YAAM-REQ-0033,"Preserve fail-fast behavior for write/assimilation failures","Mutating flows should fail explicitly instead of silently succeeding with empty or partial writes.","TRA; iAIMS; Skill Factory; Maritime Port Sandbox; SCM-Cert-Bench","TRA; IAMS; Skill-Factory; maritime-port-sandbox; 2026-05-24-scm-cert-bench","Reliability And Error Handling","Service","Cross-tier","REST v2; MCP","Reliability","Yes","P1","Accepted","Error handling","Failed writes return structured retryable/non-retryable errors.","Read flows may return partial results."
YAAM-REQ-0034,"Track performance budgets for query, context, evidence, and CIAR operations","Record latency budgets for public workflows.","iAIMS; Skill Factory; Maritime Port Sandbox; SCM-Cert-Bench","IAMS; Skill-Factory; maritime-port-sandbox; 2026-05-24-scm-cert-bench","Performance Expectations","Service","Cross-tier","Multiple","Performance","Yes","P1","Accepted","SLO/observability","Plans and tests record workflow-level latency budgets.","Budgets vary by customer."
YAAM-REQ-0035,"Require implementation plans to reference requirement IDs","Require future plans and reports to cite relevant registry IDs.","Internal governance","AGENTS.md; docs/requirements","Maintenance Rules","Service","N/A","Documentation","Governance","Yes","P0","Accepted","Documentation governance","New plans and reports cite registry IDs.","Prevents architectural drift."
YAAM-REQ-0036,"Enforce benchmark answer-leakage and contamination guards","Filter hidden benchmark answers, ground-truth reasoning, judge notes, curation records, and other contamination-bearing fields from runtime context retrieval.","SCM-Cert-Bench","2026-05-24-scm-cert-bench","Required Capabilities; Data And Scope Requirements; Security And Permission Requirements","Service","Cross-tier","MCP; REST v2","Security/read policy","Yes","P0","Accepted","Authorization/scope policy","Runtime context retrieval fails closed or returns only visibility-filtered memory with leakage guard status and audit metadata.","Benchmark validity depends on fail-closed filtering."
YAAM-REQ-0037,"Store maintainer-only Gold task curation decisions","Store Gold task approval, rejection, defect, and source-triad review decisions in maintainer-only scope.","SCM-Cert-Bench","2026-05-24-scm-cert-bench","Required Capabilities; Use Case Scenarios; MCP Expectations","Raw/Unified","L2; L3","REST v2; MCP","Write/read","Yes","P1","Accepted","Curation memory service","Curation writes return record id, visibility scope, source-triad links, timestamp, and audit id; runtime agents are denied access.","Do not expose curation notes to evaluated agents."
YAAM-REQ-0038,"Store and retrieve trace and artifact correlation metadata","Correlate YAAM memory records with Phoenix traces, OpenRouter calls, local JSONL artifact references, task ids, run ids, and validation failures.","SCM-Cert-Bench","2026-05-24-scm-cert-bench","Required Capabilities; Observability Requirements","Service","Cross-tier","REST v2; MCP","Metadata read/write","Yes","P1","Accepted","Observability/tracing","Metadata writes and reads preserve correlation ids, external trace ids, safe artifact references, linked memory ids, and degraded trace status.","Keep artifact references safe and portable when local paths are workspace-specific."
YAAM-REQ-0039,"Provide SCM-Cert-Bench task, evidence, curation, and episode resources","Expose customer-specific MCP resource views for SCM-Cert-Bench task evidence, session facts, episodes, curation records, health, and CIAR configuration.","SCM-Cert-Bench","2026-05-24-scm-cert-bench","MCP Expectations","Raw/Unified","Cross-tier","MCP","Resource/read","Yes","P2","Needs discussion","MCP resources/customer views","Resource templates enforce visibility scope, deny runtime callers access to maintainer curation records, and return JSON-parseable provenance-bearing data.","Customer-specific resources should follow generic MCP resource stability."
